
irr,tamb,tmodule,wind,pack
0,22.72,19.88,0.8,0.0
0,22.56,19.63,0.8,0.0
224,20.45,21.5,1.5,11.71
226,20.69,21.75,1.5,11.79
231,20.69,22.15,1.4,12.35
238,20.85,22.15,1.4,12.67
246,20.85,22.31,1.4,13.02
248,21.34,22.72,1.3,12.93
253,21.34,23.13,1.3,13.47
258,21.5,23.29,1.3,13.81
263,21.5,23.7,1.2,14.25
272,21.75,23.94,1.1,14.66
272,21.75,24.1,1.1,14.98
282,21.75,24.67,1.1,15.17
282,22.15,24.91,1.0,15.45
290,21.91,25.08,1.0,15.7
294,22.15,25.48,1.0,15.9
299,22.31,25.73,1.0,16.23
302,22.56,26.13,1.0,16.3
304,22.88,26.46,1.0,16.62
312,23.13,26.86,1.0,16.79
312,23.29,27.11,1.0,16.97
316,23.7,27.27,1.0,17.23
320,23.7,27.68,1.0,17.39
330,23.53,27.68,1.1,17.64
334,23.94,28.08,1.0,17.87
334,24.34,28.25,0.9,18.05
339,24.1,28.9,1.0,18.29
342,24.51,29.06,1.0,18.54
342,24.67,29.3,1.1,18.7
354,24.91,29.46,1.1,19.06
356,24.67,29.06,1.2,19.26
364,24.51,29.06,1.3,19.48
371,24.51,29.06,1.4,19.72
376,24.51,29.06,1.4,19.95
374,25.32,29.71,1.5,20.17
381,25.73,30.28,1.5,20.38
386,25.73,30.44,1.5,20.6
388,25.89,30.68,1.6,20.75
391,26.46,31.09,1.6,21.15
396,26.7,31.25,1.6,21.34
405,26.7,31.25,1.4,21.39
408,27.11,31.66,1.4,21.55
413,27.11,32.06,1.4,21.84
413,27.27,32.23,1.4,22.13
415,27.11,32.06,1.4,22.27
425,27.27,32.47,1.5,22.62
430,27.51,32.47,1.4,23.04
435,28.25,33.28,1.4,23.31
447,28.65,33.69,1.3,23.73
447,28.65,33.93,1.3,24.05
452,28.25,33.93,1.4,24.25
454,28.65,34.34,1.4,24.6
465,28.25,34.34,1.4,24.58
467,28.25,34.34,1.4,24.9
472,28.65,34.5,1.4,25.2
477,27.92,33.93,1.5,25.47
480,27.92,34.5,1.5,25.52
482,28.49,35.07,1.6,25.46
484,29.06,35.88,1.5,25.5
482,29.06,36.13,1.5,25.89
494,28.08,34.5,1.6,26.29
497,27.92,34.34,1.6,26.52
501,27.68,35.07,1.7,26.49
506,28.08,35.72,1.7,26.61
501,28.25,36.13,1.6,26.82
511,27.68,34.75,1.7,26.82
514,27.51,34.75,1.7,27.49
511,27.51,34.34,1.8,27.88
523,27.68,37.51,1.9,27.84
526,27.68,38.24,1.8,28.2
533,27.92,38.48,1.7,28.37
541,27.92,37.91,1.7,28.7
543,28.25,38.24,1.7,28.89
545,28.08,38.48,1.7,29.06
548,28.25,38.65,1.6,29.35
553,28.25,39.05,1.6,29.41
558,27.68,37.91,1.5,29.93
567,27.51,37.26,1.7,29.85
563,27.92,37.91,1.8,30.15
572,27.68,37.51,1.9,30.3
575,27.92,37.91,1.9,30.54
577,28.25,38.48,1.9,30.39
